anime_id,Name,Score,Genres,Type,Episodes,Members
90,Shin Kidou Senki Gundam Wing,7.69,"Action, Drama, Sci-Fi",TV,49.0,155744
91,Shin Kidou Senki Gundam Wing: Endless Waltz,7.74,"Action, Award Winning, Drama, Sci-Fi",OVA,3.0,47208
92,Kidou Shinseiki Gundam X,7.34,"Adventure, Drama, Sci-Fi",TV,39.0,34851
93,Kidou Senshi Gundam SEED,7.75,"Action, Award Winning, Drama, Romance, Sci-Fi",TV,50.0,164436
94,Kidou Senshi Gundam SEED Destiny,7.18,"Action, Drama, Romance, Sci-Fi",TV,50.0,104048
95,Turn A Gundam,7.74,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",TV,50.0,45772
96,Kidou Butouden G Gundam,7.57,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports",TV,49.0,66828
97,Last Exile,7.79,"Action, Adventure, Sci-Fi",TV,26.0,170062
98,Mai-HiME,7.42,"Action, Fantasy, Girls Love",TV,26.0,113210
99,Mai-Otome,7.28,"Comedy, Drama, Fantasy",TV,26.0,50454
100,Shin Shirayuki-hime Densetsu Prétear,7.16,"Comedy, Drama, Fantasy, Romance",TV,13.0,62156
101,Air,7.28,"Drama, Romance, Supernatural",TV,12.0,292351
102,Aishiteruze Baby★★,7.44,"Comedy, Drama, Romance",TV,26.0,101134
103,Akazukin Chacha,7.49,"Adventure, Comedy, Fantasy, Romance",TV,74.0,14917
104,Ayashi no Ceres,7.18,"Adventure, Drama, Horror, Romance, Supernatural, Suspense",TV,24.0,60668
105,Boys Be...,6.4,"Comedy, Romance, Slice of Life",TV,13.0,22934
106,Hana yori Dango,7.61,"Drama, Romance",TV,51.0,59814
107,Ou Dorobou Jing,7.19,"Adventure, Comedy, Fantasy, Sci-Fi",TV,13.0,36942
108,Ou Dorobou Jing in Seventh Heaven,7.25,"Adventure, Comedy, Fantasy",OVA,3.0,12873
109,Bakuretsu Tenshi,6.79,"Adventure, Comedy, Sci-Fi",TV,24.0,69227
110,Chuuka Ichiban!,7.58,"Action, Comedy, Drama, Gourmet",TV,52.0,19292
111,Corrector Yui,6.97,"Adventure, Comedy, Sci-Fi",TV,52.0,15804
112,Chou Henshin Cosprayers,4.82,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",TV,8.0,8567
113,Uchuu no Stellvia,7.37,"Action, Romance, Sci-Fi",TV,26.0,24116
114,Sakigake!! Cromartie Koukou,7.9,Comedy,TV,26.0,134468
115,El Hazard: The Alternative World,6.79,"Adventure, Comedy, Fantasy",TV,13.0,11370
116,El Hazard: The Wanderers,6.93,"Adventure, Comedy, Fantasy, Romance",TV,26.0,17489
117,El Hazard: The Magnificent World,7.26,"Adventure, Comedy, Fantasy, Romance",OVA,7.0,18867
118,El Hazard 2: The Magnificent World,6.78,"Adventure, Comedy, Fantasy",OVA,4.0,9011
119,Final Approach,6.52,"Comedy, Drama, Romance",TV,13.0,35110
120,Fruits Basket,7.69,"Drama, Romance, Supernatural",TV,26.0,524623
121,Fullmetal Alchemist,8.11,"Action, Adventure, Award Winning, Drama, Fantasy",TV,51.0,1426703
122,Full Moon wo Sagashite,7.94,"Comedy, Drama, Romance, Supernatural",TV,52.0,106414
123,Fushigi Yuugi,7.61,"Adventure, Fantasy, Romance",TV,52.0,115885
124,Fushigi Yuugi: Eikouden,6.82,"Adventure, Drama, Fantasy, Romance",OVA,4.0,17611
125,Futakoi,6.44,"Comedy, Romance",TV,13.0,34677
126,Futakoi Alternative,6.86,"Comedy, Drama, Romance",TV,13.0,30944
127,Gate Keepers,6.92,"Action, Comedy, Fantasy, Sci-Fi",TV,24.0,21786
128,Gate Keepers 21,6.74,"Action, Drama, Sci-Fi",OVA,6.0,10417
129,Gensoumaden Saiyuuki,7.55,"Action, Adventure, Comedy, Drama, Supernatural",TV,50.0,53858
130,Saiyuuki Reload,7.37,"Action, Adventure, Comedy, Drama, Supernatural",TV,25.0,34249
